head,relation_type,tail,verdict_qwen,verdict_gpt
internal router,is_a,router,yes,yes
ip address,identifies,dns server,yes,yes
ip address,identifies,mail server,yes,yes
ip address,identifies,web server,yes,yes
ip datagram,contains,ttl,yes,yes
ip datagram,contains,udp segment,yes,yes
is-is,is_a,link-state protocol,yes,yes
isp,provides,ip address range,yes,yes
least-cost path,is_a,path,yes,yes
link cost,is_a,metric,yes,yes
link state routing,requires,global information,yes,yes
link-state algorithm,is_a,routing algorithm,yes,yes
link-state algorithm,requires,complete map,yes,yes
link-state algorithm,requires,global knowledge,yes,yes
link-state packet,contains,link,yes,yes
link-state packet,contains,link cost,yes,yes
link-state protocol,implements,dijkstra's algorithm,yes,yes
link-state routing,implements,dijkstra's algorithm,yes,yes
load,increases,link cost,yes,yes
load-sensitive algorithm,requires,link cost,yes,yes
ls algorithm,provides,least-cost path,yes,yes
managed device,receives,rpc,yes,yes
managed device,sends,notification,yes,yes
managing server,communicates_with,managed device,yes,yes
managing server,controls,managed device,yes,yes
managing server,receives,notification,yes,yes
managing server,receives,response,yes,yes
managing server,sends,request,yes,yes
neighbor,receives,distance vector,yes,yes
netconf,enables,device configuration,yes,yes
netconf,enables,transaction,yes,yes
netconf,provides,edit-config,yes,yes
netconf,provides,get,yes,yes
netconf,provides,get-config,yes,yes
netconf,provides,lock,yes,yes
netconf,requires,secure connection,yes,yes
netconf,supports,rpc,yes,yes
network layer,has_part,control plane,yes,yes
network management protocol,connects_to,managed device,yes,yes
network-control application,controls,data plane,yes,yes
network-control application,part_of,control plane,yes,yes
network-control application,provides,access control,yes,yes
network-control application,provides,server load balancing,yes,yes
next-hop attribute,identifies,ip address,yes,yes
next-hop attribute,identifies,router 2a,yes,yes
next-hop attribute,identifies,router 3d,yes,yes
node,has_part,distance vector,yes,yes
node,has_part,routing table,yes,yes
node,manages,forwarding table,yes,yes
node,part_of,graph,yes,yes
node,receives,distance vector,yes,yes
node,receives,link-state packet,yes,yes
node,sends,link-state packet,yes,yes
node 0,receives,routing packet,yes,yes
node 0,sends,routing packet,yes,yes
node 1,communicates_with,node 2,yes,yes
node 1,sends,routing packet,yes,yes
node 2,sends,routing packet,yes,yes
node 3,receives,routing packet,yes,yes
node u,has_part,forwarding table,yes,yes
node y,receives,distance vector,yes,yes
node y,routes_to,node x,yes,yes
node y,sends,distance vector,yes,yes
node z,receives,distance vector,yes,yes
node z,routes_to,node x,yes,yes
node z,sends,distance vector,yes,yes
nox,is_a,sdn controller,yes,yes
onos,is_a,sdn controller,yes,yes
opendaylight,is_a,sdn controller,yes,yes
openflow protocol,runs_on,tcp,yes,yes
openflow1.0,provides,flow-based forwarding,yes,yes
ospf,implements,dijkstra's algorithm,yes,yes
ospf,implements,link-state algorithm,yes,yes
ospf,implements,link-state broadcast,yes,yes
ospf,implements,link-state routing algorithm,yes,yes
ospf,implements,reliable message transfer,yes,yes
ospf,implements,routing algorithm,yes,yes
ospf,is_a,link-state protocol,yes,yes
ospf,is_a,protocol,yes,yes
ospf,provides,least-cost path routing,yes,yes
ospf,runs_on,ip,yes,yes
ospf,supports,authentication,yes,yes
ospf,supports,md5 authentication,yes,yes
ospf,supports,simple authentication,yes,yes
ospf message,contains,ospf advertisement,yes,yes
ping,measures,packet loss,yes,yes
ping,measures,rtt,yes,yes
ping,receives,icmp echo response,yes,yes
ping,sends,icmp echo request,yes,yes
poisoned reverse,mitigates,count-to-infinity problem,yes,yes
request,contains,mib object,yes,yes
rip,implements,distance-vector algorithm,yes,yes
route,has_part,as-path,yes,yes
route,has_part,next-hop,yes,yes
route-selection algorithm,is_a,algorithm,yes,yes
router,causes,oscillation,yes,yes
router,forwards,datagram,yes,yes
router,forwards,ip datagram,yes,yes
router,forwards,packet,yes,yes
router,has_part,flow table,yes,yes
router,has_part,forwarding table,yes,yes
router,implements,bgp route-selection algorithm,yes,yes
router,implements,decentralized routing algorithm,yes,yes
router,implements,dijkstra's algorithm,yes,yes
router,implements,distance vector routing,yes,yes
router,implements,distance-vector algorithm,yes,yes
router,implements,link state routing,yes,yes
router,implements,link-state algorithm,yes,yes
router,implements,ls algorithm,yes,yes
router,implements,match-plus-action abstraction,yes,yes
router,implements,route-selection algorithm,yes,yes
router,part_of,autonomous system,yes,yes
router,part_of,isp,yes,yes
router,provides,firewalling,yes,yes
router,provides,load sharing,yes,yes
router,receives,distance vector,yes,yes
router,receives,ip datagram,yes,yes
router,receives,packet,yes,yes
router,sends,distance vector,yes,yes
router,sends,hello message,yes,yes
router,sends,icmp,yes,yes
router,sends,icmp warning message,yes,yes
router,sends,link advertisement,yes,yes
router,sends,link-state information,yes,yes
router,sends,link-state packet,yes,yes
router,sends,packet,yes,yes
router 1b,forwards,packet,yes,yes
router 1b,manages,forwarding table,yes,yes
router 1c,connects_to,router 2a,yes,yes
router 2c,connects_to,router 3a,yes,yes
router 2c,receives,bgp message,yes,yes
router 2c,sends,bgp message,yes,yes
router 3a,sends,bgp message,yes,yes
routing algorithm,is_a,algorithm,yes,yes
routing network-control application,implements,dijkstra's algorithm,yes,yes
routing policy,controls,local-preference attribute,yes,yes
routing table,part_of,node,yes,yes
sdn,controls,router,yes,yes
sdn,implements,logically centralized control,yes,yes
sdn,supports,4g/5g cellular networking,yes,yes
sdn controller,communicates_with,sdn-enabled switch,yes,yes
sdn controller,communicates_with,sdn‑controlled switch,yes,yes
sdn controller,communicates_with,switch,yes,yes
sdn controller,enables,unbundling,yes,yes
sdn controller,implements,openflow,yes,yes
sdn controller,manages,flow table,yes,yes
sdn controller,part_of,control plane,yes,yes
sdn controller,provides,api,yes,yes
sdn controller,provides,network state information,yes,yes
sdn‑controlled switch,has_part,flow table,yes,yes
sdn‑controlled switch,sends,packet,yes,yes
server,communicates_with,device,yes,yes
snmp,is_a,protocol,yes,yes
snmp,operates_at,application layer,yes,yes
snmp,runs_on,udp,yes,yes
snmpv3,operates_at,application layer,yes,yes
source host,measures,round-trip time,yes,yes
source host,receives,icmp message,yes,yes
switch,communicates_with,sdn controller,yes,yes
target host,receives,icmp echo request,yes,yes
tcp,provides,congestion control,yes,yes
tls,runs_on,tcp,yes,yes
trap,is_a,pdu,yes,yes
