head,relation_type,tail
output port,has_part,queue
output port,part_of,router
output port,receives,packet
output port,sends,packet
packet,contains,destination address
packet queue,part_of,router
packet switch,has_part,flow table
payload length,part_of,ipv6
per-hop buffer,increases,end-to-end delay
pie,is_a,active queue management algorithm
port,part_of,switch
queue,part_of,output port
random early detection,is_a,active queue management algorithm
receiving host,receives,packet
remote controller,provides,forwarding table
remote game server,receives,tcp segment
resource reservation protocol,operates_at,network layer
ripe,part_of,address supporting organization
round robin service,supports,class 1
router,forwards,ip datagram
router,forwards,packet
router,has_part,forwarding table
router,has_part,input port
router,has_part,interface
router,has_part,line card
router,has_part,output port
router,has_part,packet queue
router,has_part,queue
router,has_part,routing processor
router,has_part,switching fabric
router,implements,dhcp relay agent
router,implements,forwarding
router,implements,ip forwarding
router,implements,longest prefix matching
router,implements,longest prefix matching rule
router,operates_at,network layer
router,receives,ip datagram
router,receives,packet
router,requires,forwarding table
router,sends,packet too big icmp error message
router interface,part_of,subnet
routing messages,contains,routing information
routing processor,communicates_with,remote controller
routing processor,part_of,router
routing processor,receives,control packet
routing processor,requires,routing protocol
routing protocol,enables,routing messages
sender,receives,packet too big icmp error message
sender,sends,ipv6 datagram
sending host,sends,packet
server,sends,dhcp ack
shared bus,connects_to,output port
social media,operates_at,application layer
software-defined networking,provides,control plane service
source address,part_of,ipv6
streaming media,operates_at,application layer
subnet,has_part,host interface
subnet portion,part_of,ip address
switch,connects_to,interface
switch,forwards,frame
switch,forwards,packet
switch,has_part,flow table
switch,has_part,forwarding table
switch,has_part,input port
switch,has_part,output port
switch,has_part,switch fabric
switch fabric,forwards,packet
switching fabric,connects_to,input port
switching fabric,connects_to,output port
switching fabric,part_of,router
tls,operates_at,application layer
tls,runs_on,tcp
traffic class,part_of,ipv6
transport layer,provides,process-to-process communication
type of service,part_of,ipv4 datagram
udp,supports,checksum
version,part_of,ipv6
version number,part_of,ipv4 datagram
web,operates_at,application layer
wfq,provides,throughput
