head,relation_type,tail
mobile device,receives,beacon signal
mobile device,receives,datagram
mobile device,receives,ip datagram
mobile device,sends,attach request
mobile device,sends,datagram
mobile device,sends,ip datagram
mobile host,connects_to,base station
mobile ip,enables,mobility
mobile ip,enables,tunnel
mobile ip,implements,agent discovery
mobile ip,implements,forwarding
mobile ip,implements,mobility services
mobile ip,implements,registration
mobile ip,provides,mobility
mobile ip,runs_on,ipv4
mobile ip,supports,visited network
nat,provides,ip address
nat gateway router,forwards,datagram
nat gateway router,provides,address translation
network congestion,causes,datagram loss
node,sends,802.11 frame
node,supports,power management
p-gw,forwards,ip datagram
packet data network gateway,is_a,router
packet data network gateway,provides,nat
packet data network gateway,provides,nat ip address
passive scanning,receives,beacon frame
permanent address,identifies,mobile device
permanent ip address,identifies,mobile device
phone number,identifies,mobile device
random access,is_a,medium access protocol
rdt2.1,implements,sequence number
rlc,implements,arq
rlc,operates_at,link layer
rlc,sends,ack
router,connects_to,ip subnet
router,forwards,ip datagram
router,forwards,packet
router,has_part,forwarding table
router,implements,distance-vector algorithm
router interface,connects_to,subnet
router interface,part_of,router
rts frame,increases,delay
rts/cts exchange,enables,data frame
rts/cts exchange,increases,delay
serving gateway,connects_to,pdn gateway
serving gateway,is_a,router
serving gateway,receives,udp
serving gateway,sends,datagram
signal,causes,handover
sim card,has_part,imsi
"single-hop, infrastructure-based network",has_part,base station
smartphone,connects_to,base station
smartphone,connects_to,wifi
source base station,communicates_with,mobile device
source base station,forwards,datagram
station,connects_to,access point
station,implements,binary exponential backoff
station,implements,csma/ca
station,receives,acknowledgment
station,receives,frame
station,sends,frame
streaming server,provides,streaming
streaming server,receives,ip datagram
switch,has_part,forwarding table
switch,receives,broadcast ethernet frame
switch,receives,ethernet frame
tablet,connects_to,wifi
taking turns,is_a,medium access protocol
target base station,communicates_with,mme
target base station,communicates_with,mobile device
target base station,communicates_with,source base station
target base station,forwards,datagram
target base station,provides,channel resources
target base station,receives,datagram
target base station,supports,mobile device
tcp,operates_at,transport layer
transmission power,increases,energy consumption
transmission rate,increases,ber
tunnel,enables,handover
tunnel endpoint,connects_to,gateway router
tunnel endpoint identifier,identifies,tunnel
tunneling,supports,ipv6
udp,operates_at,transport layer
user equipment,is_a,mobile device
visited network,connects_to,mobile device
visited network gateway router,forwards,datagram
visited network gateway router,provides,address translation
visited network gateway router,receives,datagram
wifi,has_part,channel
wifi,supports,wireless lan
wireless device,connects_to,ap
wireless device,receives,association response frame
wireless device,receives,probe response frame
wireless device,sends,association request frame
wireless device,sends,probe request frame
wireless host,communicates_with,base station
wireless host,communicates_with,larger network
wireless host,connects_to,base station
wireless laptop,communicates_with,access point
wireless laptop,sends,frame
wireless link,connects_to,base station
wireless link,connects_to,router
wireless link,connects_to,wireless host
wireless link,enables,mobility
wireless station,communicates_with,access point
wireless station,connects_to,access point
wireless station,is_a,host
wireless station,receives,beacon frame
wireless station,receives,data frame
