head,relation_type,tail
web,runs_on,tcp
web browser,communicates_with,dns
web browser,implements,http
web cache,communicates_with,origin web server
web cache,connects_to,origin web server
web cache,is_a,proxy server
web page,contains,object
web proxy,receives,http request
web proxy,receives,http response
web proxy,sends,http request
web proxy,sends,http response
web server,implements,http
web server,provides,web service
web server,sends,header line
web server,sends,http response
welcoming socket,is_a,tcp socket
whois database,enables,reconnaissance
