head,relation_type,tail
node,receives,frame
node,receives,token
node,sends,frame
node,sends,packet
odd parity scheme,contains,single parity bit
odd parity scheme,provides,error detection
ospf,implements,link-state routing
ospf,supports,link-state information
output buffer,part_of,switch
parity check,provides,error detection
point-to-point link,connects_to,host
point-to-point link,connects_to,router
point-to-point link,connects_to,switch
point-to-point protocol,operates_at,link layer
port,connects_to,vlan
port-to-vlan mapping table,part_of,switch
rdma,runs_on,ethernet
receiving node,receives,link-level frame
repeater,operates_at,physical layer
router,connects_to,hub
router,connects_to,switch
router,forwards,ip datagram
router,has_part,adapter
router,has_part,forwarding table
router,implements,store-and-forward
router,operates_at,network layer
router,provides,firewall protection
router,receives,frame
router,requires,ip address
router,sends,frame
second-tier switch,connects_to,tor switch
sending node,sends,link-level frame
single parity bit,enables,error detection
switch,connects_to,interface
switch,connects_to,lan segment
switch,connects_to,router
switch,connects_to,server
switch,forwards,ethernet frame
switch,forwards,frame
switch,forwards,link-layer frame
switch,has_part,buffer
switch,has_part,forwarding table
switch,has_part,port-to-vlan mapping table
switch,has_part,switch table
switch,implements,ethernet
switch,implements,store-and-forward
switch,operates_at,data link layer
switch,operates_at,layer 2
switch,operates_at,link layer
switch,prevents,collision
switch,provides,store-and-forward
switch,receives,frame
switch,receives,link-layer frame
switch,supports,vlan
switch table,contains,mac address
switch table,part_of,switch
switched local network,contains,switch
tag control information,contains,vlan identifier
tcp,requires,internet checksum
tcp segment,contains,http get message
tcp segment,contains,http response message
tdm,prevents,collision
tier-1 switch,connects_to,tier-2 switch
tier-2 switch,connects_to,tier-1 switch
tier-2 switch,connects_to,tor switch
time frame,contains,time slot
token,is_a,frame
token-passing protocol,has_part,token
token-passing protocol,is_a,taking-turns protocol
token-ring protocol,operates_at,link layer
top of rack switch,connects_to,switch
top of rack switch,part_of,rack
top-tier switch,connects_to,load balancer
top-tier switch,connects_to,second-tier switch
tor switch,connects_to,second-tier switch
tor switch,connects_to,server
tor switch,connects_to,tier-2 switch
transport layer,provides,error correction
transport layer,provides,error detection
trunk port,connects_to,switch
trunk port,supports,vlan
two-dimensional parity,provides,error correction
two-dimensional parity,provides,error detection
two-dimensional parity scheme,contains,row parity
two-dimensional parity scheme,provides,error correction
two-dimensional parity scheme,provides,error detection
type field,maps_to,appletalk
type field,maps_to,novell ipx
udp,contains,dns query
upstream channel,contains,mini-slot
vlan,has_part,priority field
vlan tag,has_part,priority field
vlan tag,has_part,tag control information
vlan tag,has_part,tag protocol identifier
wifi access point,connects_to,switch
wireless lan,operates_at,link layer
wireless lan,supports,broadcast channel
wireless lan,supports,broadcast link
xtp,requires,checksum
