head,relation_type,tail
out-of-order packet,causes,positive acknowledgment
packet,contains,checksum
packet,contains,packet checksum field
packet,has_part,sequence number
packet checksum field,part_of,packet
packet loss,increases,end-to-end delay
packet-arrival rate,increases,queuing delay
pipelining,increases,utilization
pipelining,requires,buffer
pipelining,requires,sequence numbers
pipelining,requires,window
port number,enables,demultiplexing
port number,enables,multiplexing
quic,implements,congestion control
quic,implements,reliable data transfer
quic,operates_at,transport layer
quic,runs_on,udp
quic,supports,congestion control
quic packet header,contains,connection id
rdt,receives,packet
rdt,sends,packet
receive window,enables,flow control
receiver,connects_to,channel
receiver,receives,control packet
receiver,receives,data packet
receiver,receives,message
receiver,receives,packet
receiver,sends,ack
receiver,sends,control packet
receiver,sends,nak
receiver,sends,negative acknowledgment
receiver,sends,positive acknowledgment
reliable data transfer protocol,has_part,sender
reliable data transfer protocol,implements,finite-state machine
reliable data transfer protocol,requires,positive acknowledgment
reliable data transfer protocol,requires,unreliable channel
router,causes,retransmission
router,enables,congestion indication bit
router,enables,network-assisted congestion control
router,forwards,datagram
router,has_part,buffer
router,receives,datagram
router buffer,causes,packet loss
segment,contains,destination port number
segment,contains,port
segment,contains,source port number
segment,has_part,sequence number
selective repeat,provides,reliable data transfer
selective repeat,receives,ack
selective repeat,requires,ack
selective repeat,requires,logical timer
selective repeat,requires,timer
selective repeat,requires,window
send rate,causes,congestion
sender,communicates_with,receiver
sender,connects_to,channel
sender,receives,ack
sender,receives,control packet
sender,receives,duplicate ack
sender,requires,buffer
sender,requires,window
sender,sends,control packet
sender,sends,data packet
sender,sends,message
sender,sends,packet
sending rate,increases,congestion
sending rate,increases,delay
sequence number,identifies,packet
server,implements,syn cookie
server,receives,ack
server,receives,acknowledgment segment
server,receives,fin segment
server,receives,packet
server,receives,segment
server,receives,syn
server,receives,syn segment
server,receives,tcp segment
server,receives,udp packet
server,runs_on,host
server,sends,acknowledgment segment
server,sends,fin segment
server,sends,segment
server,sends,synack
server,sends,synack segment
server,sends,tcp segment
server,sends,udp packet
server,supports,tcp connection socket
slow start,increases,congestion window
slow start,increases,congestion window size
slow start,part_of,congestion control
socket,receives,segment
source host,receives,synack segment
source host,sends,syn segment
source port number field,part_of,segment
stop-and-wait protocol,requires,ack
stop-and-wait protocol,requires,acknowledgment
stop-and-wait protocol,requires,checksum
stop-and-wait protocol,supports,sequence number
streaming,runs_on,tcp
streaming,runs_on,udp
syn flood attack,is_a,denial-of-service attack
target host,receives,syn segment
target host,sends,rst segment
tcp,has_part,congestion avoidance
tcp,has_part,congestion control mechanism
tcp,has_part,connection state
tcp,has_part,fast recovery
tcp,has_part,receive buffer
tcp,has_part,send buffer
tcp,has_part,slow start
tcp,has_part,tcp state
tcp,has_part,window behavior
tcp,implements,aimd
tcp,implements,aimd algorithm
tcp,implements,congestion avoidance
tcp,implements,congestion control
tcp,implements,demultiplexing
tcp,implements,fast recovery
tcp,implements,fast retransmit
tcp,implements,reliable data transfer service
tcp,implements,retransmit mechanism
tcp,implements,slow start
tcp,implements,three-way handshake
tcp,is_a,transport-layer protocol
tcp,operates_at,transport layer
tcp,provides,congestion control
tcp,provides,cumulative acknowledgments
tcp,provides,error detection
tcp,provides,flow control
tcp,provides,flow control service
tcp,provides,full-duplex service
tcp,provides,point-to-point
tcp,provides,reliable connection-oriented service
tcp,provides,reliable data transfer
tcp,provides,retransmissions
tcp,provides,round-trip time estimation
tcp,provides,timers
tcp,receives,ack
tcp,requires,acknowledgments
tcp,requires,checksum
tcp,requires,flow control
tcp,requires,sequence numbers
tcp,requires,timers
tcp,runs_on,ip
tcp,sends,segment
tcp,supports,full-duplex
tcp congestion-control algorithm,has_part,congestion avoidance
tcp congestion-control algorithm,has_part,fast recovery
tcp congestion-control algorithm,has_part,slow start
tcp connection establishment,increases,end-to-end delay
tcp cubic,implements,congestion avoidance
tcp cubic,increases,congestion window
tcp cubic,increases,sending rate
tcp cubic,provides,throughput
tcp reno,implements,aimd
tcp reno,implements,fast recovery
tcp segment,contains,destination port number
tcp segment,provides,acknowledgment
tcp segment header,has_part,acknowledgment number field
tcp segment header,has_part,sequence number field
telnet,operates_at,application layer
telnet,runs_on,tcp
timeout,causes,multiplicative decrease
timeout interval,requires,devrtt
timeout interval,requires,estimatedrtt
timer,supports,retransmit mechanism
tls,runs_on,tcp
transport layer,implements,demultiplexing
transport layer,implements,multiplexing
transport layer,provides,error checking
transport layer,provides,port number
transport layer,receives,segment
transport layer,sends,transport-level segment
transport protocol,operates_at,transport layer
transport protocol,provides,reliable data transfer service
transport protocol,runs_on,host
transport-layer demultiplexing,enables,process-to-process data delivery
transport-layer multiplexing,enables,process-to-process data delivery
transport-layer protocol,provides,reliable data transfer
transport-layer protocol,requires,acknowledgment
transport-layer protocol,requires,sequence number
triple duplicate ack,causes,multiplicative decrease
udp,implements,checksum calculation
udp,implements,demultiplexing
udp,operates_at,transport layer
udp,provides,error checking
udp,provides,error detection
udp,provides,process-to-process data delivery
udp,provides,unreliable connectionless service
udp,requires,checksum
udp,supports,multimedia applications
udp checksum,provides,error detection
udp segment,contains,checksum
udp segment,contains,header fields
udp segment,has_part,checksum field
udt,runs_on,unreliable channel
web browsers,enables,parallel connections
