head,relation_type,tail,verdict_qwen,verdict_gpt
node z,receives,distance vector,yes,yes
node z,routes_to,node x,yes,yes
node z,sends,distance vector,yes,yes
novell ipx,implements,distance-vector algorithm,yes,no
nox,is_a,sdn controller,yes,yes
onos,is_a,sdn controller,yes,yes
opendaylight,is_a,sdn controller,yes,yes
openflow protocol,connects_to,sdn controller,yes,no
openflow protocol,connects_to,sdn‑controlled switch,,yes
openflow protocol,runs_on,tcp,yes,yes
openflow1.0,enables,header field value,,yes
openflow1.0,provides,flow-based forwarding,yes,yes
ospf,implements,dijkstra's algorithm,yes,yes
ospf,implements,link-state algorithm,yes,yes
ospf,implements,link-state broadcast,yes,yes
ospf,implements,link-state routing algorithm,yes,yes
ospf,implements,reliable message transfer,yes,yes
ospf,implements,routing algorithm,yes,yes
ospf,is_a,link-state protocol,yes,yes
ospf,is_a,protocol,yes,yes
ospf,provides,least-cost path routing,yes,yes
ospf,runs_on,ip,yes,yes
ospf,supports,authentication,yes,yes
ospf,supports,md5 authentication,yes,yes
ospf,supports,simple authentication,yes,yes
ospf message,contains,ospf advertisement,yes,yes
pdu,has_part,request-id,,yes
ping,measures,packet loss,yes,yes
ping,measures,rtt,yes,yes
ping,receives,icmp echo response,yes,yes
ping,sends,icmp echo request,yes,yes
poisoned reverse,mitigates,count-to-infinity problem,yes,yes
request,contains,mib object,yes,yes
response,contains,mib value,no,yes
rip,implements,distance-vector algorithm,yes,yes
route,contains,prefix,,yes
route,has_part,as-path,yes,yes
route,has_part,next-hop,yes,yes
route-selection algorithm,is_a,algorithm,yes,yes
router,causes,oscillation,yes,yes
router,forwards,datagram,yes,yes
router,forwards,ip datagram,yes,yes
router,forwards,packet,yes,yes
router,has_part,flow table,yes,yes
router,has_part,forwarding table,yes,yes
router,implements,bgp route-selection algorithm,yes,yes
router,implements,decentralized routing algorithm,yes,yes
router,implements,dijkstra's algorithm,yes,yes
router,implements,distance vector routing,yes,yes
router,implements,distance-vector algorithm,yes,yes
router,implements,link state routing,yes,yes
router,implements,link-state algorithm,yes,yes
router,implements,ls algorithm,yes,yes
router,implements,match-plus-action abstraction,yes,yes
router,implements,route-selection algorithm,yes,yes
router,part_of,autonomous system,yes,yes
router,part_of,isp,yes,yes
router,provides,firewalling,yes,yes
router,provides,load sharing,yes,yes
router,provides,nat,,yes
router,receives,distance vector,yes,yes
router,receives,ip datagram,yes,yes
router,receives,packet,yes,yes
router,sends,distance vector,yes,yes
router,sends,hello message,yes,yes
router,sends,icmp,yes,yes
router,sends,icmp warning message,yes,yes
router,sends,link advertisement,yes,yes
router,sends,link-state information,yes,yes
router,sends,link-state packet,yes,yes
router,sends,packet,yes,yes
router 1b,forwards,packet,yes,yes
router 1b,manages,forwarding table,yes,yes
router 1c,connects_to,router 2a,yes,yes
router 2c,connects_to,router 3a,yes,yes
router 2c,receives,bgp message,yes,yes
router 2c,sends,bgp message,yes,yes
router 3a,sends,bgp message,yes,yes
routing algorithm,identifies,least-cost path,,yes
routing algorithm,is_a,algorithm,yes,yes
routing network-control application,implements,dijkstra's algorithm,yes,yes
routing policy,controls,local-preference attribute,yes,yes
routing table,part_of,node,yes,yes
sdn,controls,activecore,no,yes
sdn,controls,b4,,yes
sdn,controls,router,yes,yes
sdn,controls,swan,yes,no
sdn,implements,logically centralized control,yes,yes
sdn,supports,4g/5g cellular networking,yes,yes
sdn controller,communicates_with,sdn-enabled switch,yes,yes
sdn controller,communicates_with,sdn‑controlled switch,yes,yes
sdn controller,communicates_with,switch,yes,yes
sdn controller,enables,unbundling,yes,yes
sdn controller,implements,openflow,yes,yes
sdn controller,manages,flow table,yes,yes
sdn controller,part_of,control plane,yes,yes
sdn controller,provides,api,yes,yes
sdn controller,provides,network state information,yes,yes
sdn controller,receives,openflow,no,yes
sdn controller,sends,packet,no,yes
sdn‑controlled switch,has_part,flow table,yes,yes
sdn‑controlled switch,sends,packet,yes,yes
server,communicates_with,device,yes,yes
snmp,is_a,protocol,yes,yes
snmp,operates_at,application layer,yes,yes
snmp,runs_on,udp,yes,yes
snmpv3,operates_at,application layer,yes,yes
snmpv3,variant_of,snmpv2,yes,no
source host,identifies,router,no,yes
source host,measures,round-trip time,yes,yes
source host,receives,icmp message,yes,yes
source host,sends,udp,,yes
switch,communicates_with,sdn controller,yes,yes
switch s1,sends,sdn controller,yes,no
target host,receives,icmp echo request,yes,yes
tcp,provides,congestion control,yes,yes
tls,runs_on,tcp,yes,yes
trap,is_a,pdu,yes,yes
udp datagram,contains,pdu,no,yes
