head,relation_type,tail
ipsec datagram,encapsulates,ipv4 datagram
ipsec datagram,is_a,ipv4 datagram
key,enables,encryption algorithm
key,encrypts,frame
known-plaintext attack,requires,ciphertext
known-plaintext attack,requires,plaintext
link-level frame,contains,user-level data
master secret,enables,session encryption key
master secret,enables,session hmac key
master secret,enables,session key
md4,implements,hash function
md5,implements,cryptographic hash function
md5,implements,hash function
message authentication code,provides,message integrity
message digest,enables,message integrity
mme,sends,key
mobile device,authenticates,access point
mobile device,authenticates,base station
mobile device,authenticates,home subscriber service
mobile device,communicates_with,ap
mobile device,communicates_with,remote host
mobile device,connects_to,access point
mobile device,connects_to,base station
mobile device,receives,authentication token
mobile device,receives,nonce
mobile device,sends,attach message
mobile device,sends,link-level frame
mobile device,sends,res
mobility management entity,authenticates,mobile device
mobility management entity,communicates_with,home subscriber service
mobility management entity,provides,base station keys
mobility management entity,sends,base station
mobility management entity,sends,international mobile subscriber identity
modular arithmetic,enables,rsa
monoalphabetic cipher,variant_of,caesar cipher
nonce,prevents,connection replay attack
nonce,prevents,replay attack
ospf,variant_of,link-state routing algorithm
package,contains,encrypted message
package,contains,encrypted symmetric key
packet filter,identifies,icmp
packet filter,identifies,ip
packet filter,identifies,tcp
packet filter,identifies,udp
packet filter,is_a,firewall
packet filter,part_of,router
packet filter,prevents,telnet
pgp,provides,authentication
pgp,provides,confidentiality
pgp,provides,data integrity
pgp,provides,digital signature
pgp,provides,public key
pgp,requires,cast
pgp,requires,idea
pgp,requires,md5
pgp,requires,rsa
pgp,requires,sha
pgp,requires,triple-des
pgp,supports,block cipher
polyalphabetic encryption,has_part,monoalphabetic encryption
polyalphabetic encryption,variant_of,monoalphabetic encryption
private key,contains,d
private key,contains,n
private key,enables,digital signature
private key,encrypts,fingerprint
private key,requires,password
public key,authenticates,certificate
public key,contains,e
public key,contains,n
public key,encrypts,authentication key
public key,encrypts,message
public key,encrypts,symmetric key
public key cryptography,encrypts,imsi
public key cryptography,provides,authentication
public key cryptography,provides,digital signature
public key cryptography,requires,private key
public key cryptography,requires,public key
public key server,provides,public key
public-key cryptography,enables,digital signature
quantum computing,enables,fast factoring algorithms
r1,sends,ipsec datagram
r2,receives,ipsec datagram
random number,increases,bandwidth
random number,susceptible_to,eavesdropping
router,connects_to,isp
router,forwards,ip datagram
router,forwards,ipsec datagram
router,has_part,forwarding table
router,has_part,packet filter
router,has_part,public key
router,implements,access control list
router,implements,least-cost routing algorithm
router,implements,packet filter
router,prevents,ip spoofing
router,receives,encrypted authentication key
router,receives,ipv4 datagram
router,receives,link-state message
router,requires,authentication key
router,sends,ipsec datagram
router,sends,link-state message
router interface,has_part,access control list
router r1,encrypts,ipsec datagram
router r1,has_part,security association database
router r1,manages,security association
router r2,authenticates,ipsec datagram
router r2,has_part,security association database
router r2,manages,security association
rsa,encrypts,message
rsa,encrypts,session key
rsa,has_part,decryption
rsa,has_part,encryption
rsa,has_part,private key
rsa,has_part,public key
rsa,implements,exponentiation
rsa,implements,public-key cryptography
rsa,requires,d
rsa,requires,e
rsa,requires,exponentiation
rsa,requires,large prime numbers
rsa,requires,modular arithmetic
rsa,requires,n
rsa,requires,number theory
rsa,requires,prime p
rsa,requires,prime q
rsa,requires,private key
rsa,requires,public key
rsa,supports,symmetric key cryptography
rsa,susceptible_to,quantum computing
sad,has_part,sa
salesperson laptop,connects_to,headquarters gateway router
salesperson laptop,has_part,security association
salesperson laptop,sends,ipsec datagram
salesperson laptop,sends,ipv4 datagram
secret key,enables,mutual authentication
secure e‑mail system,is_a,service
secure e‑mail system,provides,confidentiality
secure e‑mail system,provides,sender authentication
security association,has_part,authentication key
security association,has_part,encryption key
security association,has_part,security parameter index
security association database,part_of,router r1
security association database,part_of,router r2
segment,part_of,tcp
sequence number,prevents,man-in-the-middle attack
sequence number,prevents,replay attack
sequence numbers,prevents,replay attack
sequence-number field,prevents,replay attack
server,sends,hmac
server,supports,tls
session key,encrypts,frame
sha-1,implements,cryptographic hash function
sha-1,implements,hash function
shared secret,enables,message integrity
shared secret,enables,mutual authentication
shared symmetric session key,encrypts,link-layer frame
sim card,contains,secret key
snort,is_a,ids
snort,is_a,intrusion detection system
snort,provides,alert
snort,provides,attack signature
snort,requires,libpcap
snort,supports,throughput
snort signature,identifies,icmp
spd,maps_to,sa
spi,identifies,sa
stateful filter,has_part,access control list
stateful filter,is_a,firewall
statistical analysis,enables,ciphertext-only attack
symmetric key,encrypts,message
symmetric key encryption,encrypts,link-level frame
symmetric key encryption,requires,shared session key
tcp fin segment,enables,truncation attack
three-way tcp handshake,mitigates,playback attack
tls,encrypts,application data
tls,operates_at,application layer
tls,operates_at,transport layer
tls,provides,confidentiality
tls,provides,data integrity
tls,provides,end-point authentication
tls,provides,socket
tls,requires,public key certification
tls,requires,session key
tls,runs_on,tcp
tls,supports,block cipher
tls,susceptible_to,man-in-the-middle
web of trust,supports,public key
web server,receives,packet
web server,sends,packet
wpa1,provides,message integrity check
wpa2,requires,aes
