head,relation_type,tail
router,forwards,datagram
router,forwards,ip datagram
router,forwards,packet
router,has_part,forwarding table
router,implements,distance-vector algorithm
router interface,connects_to,subnet
router interface,encapsulates,datagram
router interface,part_of,router
rts frame,increases,delay
rts frame,mitigates,hidden terminal
rts/cts exchange,decreases,collision
rts/cts exchange,enables,data frame
rts/cts exchange,increases,delay
scheduling algorithms,controls,mobile device
sdn,enables,latency
serving gateway,connects_to,pdn gateway
serving gateway,connects_to,target base station
serving gateway,is_a,router
serving gateway,receives,udp
serving gateway,sends,datagram
signal,causes,handover
sim card,has_part,imsi
sim card,has_part,phone number
"single-hop, infrastructure-based network",has_part,base station
smart antennas,decreases,interference
smartphone,connects_to,base station
smartphone,connects_to,wifi
smf,part_of,mme
smf,provides,dhcp service
snr,decreases,ber
source base station,communicates_with,mobile device
source base station,forwards,datagram
source base station,forwards,tunnel
ssid,identifies,access point
station,connects_to,access point
station,implements,binary exponential backoff
station,implements,csma/ca
station,receives,acknowledgment
station,receives,frame
station,sends,acknowledgment frame
station,sends,frame
station h1,connects_to,access point
station h1,receives,cts frame
station h1,sends,rts frame
station h2,connects_to,access point
station h2,receives,cts frame
streaming server,provides,streaming
streaming server,receives,ip datagram
streaming server,sends,ip datagram
switch,has_part,forwarding table
switch,manages,forwarding table
switch,receives,broadcast ethernet frame
switch,receives,ethernet frame
tablet,connects_to,wifi
taking turns,is_a,medium access protocol
target base station,communicates_with,mme
target base station,communicates_with,mobile device
target base station,communicates_with,source base station
target base station,forwards,datagram
target base station,provides,channel resources
target base station,receives,datagram
target base station,receives,tunnel
target base station,sends,mobile device
target base station,supports,mobile device
tcp,operates_at,transport layer
time slot,increases,transmission rate
transmission power,increases,energy consumption
transmission power,increases,interference
transmission rate,increases,ber
tunnel,connects_to,mobile device
tunnel,enables,handover
tunnel,encapsulates,datagram
tunnel endpoint,connects_to,gateway router
tunnel endpoint identifier,identifies,tunnel
tunneling,supports,ipv6
type field,identifies,cts
type field,identifies,rts
udp,operates_at,transport layer
upper-layer mechanisms,mitigates,datagram loss
urllc,is_a,service
urllc,provides,latency
user equipment,is_a,mobile device
user priorities,supports,scheduling algorithms
visited gateway router,forwards,original datagram
visited gateway router,provides,nat
visited gateway router,receives,larger datagram
visited network,connects_to,mobile device
visited network,routes_to,mobile device
visited network gateway router,forwards,datagram
visited network gateway router,provides,address translation
visited network gateway router,receives,datagram
vlan,connects_to,lan
wep,encrypts,data
wide-area data service,provides,latency
wifi,has_part,channel
wifi,supports,wireless lan
wireless device,connects_to,ap
wireless device,receives,association response frame
wireless device,receives,probe response frame
wireless device,sends,association request frame
wireless device,sends,probe request frame
wireless host,communicates_with,base station
wireless host,communicates_with,larger network
wireless host,connects_to,base station
wireless laptop,communicates_with,access point
wireless laptop,sends,frame
wireless link,connects_to,base station
wireless link,connects_to,router
wireless link,connects_to,switch
wireless link,connects_to,wireless host
wireless link,enables,mobility
wireless medium,is_a,shared medium
wireless station,communicates_with,access point
wireless station,connects_to,access point
wireless station,is_a,host
wireless station,receives,beacon frame
wireless station,receives,data frame
