head,relation_type,tail
sdn controller,communicates_with,sdn‑controlled switch
sdn controller,communicates_with,switch
sdn controller,enables,unbundling
sdn controller,has_part,server
sdn controller,implements,openflow
sdn controller,manages,flow table
sdn controller,part_of,control plane
sdn controller,provides,api
sdn controller,provides,network state information
sdn controller,receives,openflow
sdn controller,sends,link-state manager
sdn controller,sends,packet
sdn‑controlled switch,has_part,flow table
sdn‑controlled switch,sends,packet
server,communicates_with,device
server,part_of,control plane
server,part_of,sdn controller
server,sends,rpc
server load balancing,controls,switch
snmp,is_a,protocol
snmp,operates_at,application layer
snmp,runs_on,udp
snmpv3,operates_at,application layer
snmpv3,variant_of,snmpv2
source host,identifies,router
source host,measures,round-trip time
source host,receives,icmp message
source host,sends,udp
switch,communicates_with,sdn controller
switch,part_of,data plane
switch s1,sends,sdn controller
target host,receives,icmp echo request
tcp,provides,congestion control
tls,runs_on,tcp
traceroute,implements,icmp
trap,is_a,pdu
udp datagram,contains,pdu
y,communicates_with,z
z,communicates_with,y
